id_municipio,nom_municipio,nom_estado,fecha_registro,robos,secuestros,grado
7019,Comitán de Domínguez,Chiapas,2025-05-01,11.0,0.0,Bajo
7019,Comitán de Domínguez,Chiapas,2025-06-01,10.0,0.0,Bajo
7019,Comitán de Domínguez,Chiapas,2025-07-01,6.0,0.0,Bajo
7020,La Concordia,Chiapas,2025-05-01,0.0,0.0,Bajo
7020,La Concordia,Chiapas,2025-06-01,0.0,0.0,Bajo
7020,La Concordia,Chiapas,2025-07-01,1.0,0.0,Bajo
7021,Copainalá,Chiapas,2025-05-01,0.0,0.0,Bajo
7021,Copainalá,Chiapas,2025-06-01,1.0,0.0,Bajo
7021,Copainalá,Chiapas,2025-07-01,0.0,0.0,Bajo
7022,Chalchihuitán,Chiapas,2025-05-01,0.0,0.0,Bajo
7022,Chalchihuitán,Chiapas,2025-06-01,0.0,0.0,Bajo
7022,Chalchihuitán,Chiapas,2025-07-01,0.0,0.0,Bajo
7023,Chamula,Chiapas,2025-05-01,0.0,0.0,Bajo
7023,Chamula,Chiapas,2025-06-01,1.0,0.0,Bajo
7023,Chamula,Chiapas,2025-07-01,0.0,0.0,Bajo
7024,Chanal,Chiapas,2025-05-01,0.0,0.0,Bajo
7024,Chanal,Chiapas,2025-06-01,0.0,0.0,Bajo
7024,Chanal,Chiapas,2025-07-01,0.0,0.0,Bajo
7025,Chapultenango,Chiapas,2025-05-01,0.0,0.0,Bajo
7025,Chapultenango,Chiapas,2025-06-01,0.0,0.0,Bajo
7025,Chapultenango,Chiapas,2025-07-01,0.0,0.0,Bajo
7026,Chenalhó,Chiapas,2025-05-01,0.0,0.0,Bajo
7026,Chenalhó,Chiapas,2025-06-01,1.0,0.0,Bajo
7026,Chenalhó,Chiapas,2025-07-01,0.0,0.0,Bajo
7027,Chiapa de Corzo,Chiapas,2025-05-01,6.0,0.0,Bajo
7027,Chiapa de Corzo,Chiapas,2025-06-01,4.0,0.0,Bajo
7027,Chiapa de Corzo,Chiapas,2025-07-01,1.0,0.0,Bajo
7028,Chiapilla,Chiapas,2025-05-01,0.0,0.0,Bajo
7028,Chiapilla,Chiapas,2025-06-01,0.0,0.0,Bajo
7028,Chiapilla,Chiapas,2025-07-01,0.0,0.0,Bajo
7029,Chicoasén,Chiapas,2025-05-01,0.0,0.0,Bajo
7029,Chicoasén,Chiapas,2025-06-01,0.0,0.0,Bajo
7029,Chicoasén,Chiapas,2025-07-01,0.0,0.0,Bajo
7030,Chicomuselo,Chiapas,2025-05-01,2.0,0.0,Bajo
7030,Chicomuselo,Chiapas,2025-06-01,1.0,0.0,Bajo
7030,Chicomuselo,Chiapas,2025-07-01,0.0,0.0,Bajo
7031,Chilón,Chiapas,2025-05-01,0.0,0.0,Bajo
7031,Chilón,Chiapas,2025-06-01,1.0,0.0,Bajo
7031,Chilón,Chiapas,2025-07-01,0.0,0.0,Bajo
7032,Escuintla,Chiapas,2025-05-01,1.0,0.0,Bajo
7032,Escuintla,Chiapas,2025-06-01,3.0,0.0,Bajo
7032,Escuintla,Chiapas,2025-07-01,5.0,0.0,Bajo
7033,Francisco León,Chiapas,2025-05-01,0.0,0.0,Bajo
7033,Francisco León,Chiapas,2025-06-01,0.0,0.0,Bajo
7033,Francisco León,Chiapas,2025-07-01,0.0,0.0,Bajo
7034,Frontera Comalapa,Chiapas,2025-05-01,1.0,1.0,Bajo
7034,Frontera Comalapa,Chiapas,2025-06-01,3.0,0.0,Bajo
7034,Frontera Comalapa,Chiapas,2025-07-01,1.0,0.0,Bajo
7035,Frontera Hidalgo,Chiapas,2025-05-01,1.0,0.0,Bajo
7035,Frontera Hidalgo,Chiapas,2025-06-01,0.0,0.0,Bajo
7035,Frontera Hidalgo,Chiapas,2025-07-01,0.0,0.0,Bajo
7036,La Grandeza,Chiapas,2025-05-01,0.0,0.0,Bajo
7036,La Grandeza,Chiapas,2025-06-01,0.0,0.0,Bajo
7036,La Grandeza,Chiapas,2025-07-01,0.0,0.0,Bajo
7037,Huehuetán,Chiapas,2025-05-01,2.0,0.0,Bajo
7037,Huehuetán,Chiapas,2025-06-01,0.0,0.0,Bajo
7037,Huehuetán,Chiapas,2025-07-01,2.0,0.0,Bajo
7038,Huixtán,Chiapas,2025-05-01,1.0,0.0,Bajo
7038,Huixtán,Chiapas,2025-06-01,0.0,0.0,Bajo
7038,Huixtán,Chiapas,2025-07-01,0.0,0.0,Bajo
7039,Huitiupán,Chiapas,2025-05-01,0.0,0.0,Bajo
7039,Huitiupán,Chiapas,2025-06-01,0.0,0.0,Bajo
7039,Huitiupán,Chiapas,2025-07-01,0.0,0.0,Bajo
7040,Huixtla,Chiapas,2025-05-01,3.0,0.0,Bajo
7040,Huixtla,Chiapas,2025-06-01,2.0,0.0,Bajo
7040,Huixtla,Chiapas,2025-07-01,1.0,0.0,Bajo
7041,La Independencia,Chiapas,2025-05-01,0.0,0.0,Bajo
7041,La Independencia,Chiapas,2025-06-01,0.0,0.0,Bajo
7041,La Independencia,Chiapas,2025-07-01,2.0,0.0,Bajo
7042,Ixhuatán,Chiapas,2025-05-01,0.0,0.0,Bajo
7042,Ixhuatán,Chiapas,2025-06-01,0.0,0.0,Bajo
7042,Ixhuatán,Chiapas,2025-07-01,0.0,0.0,Bajo
7043,Ixtacomitán,Chiapas,2025-05-01,0.0,0.0,Bajo
7043,Ixtacomitán,Chiapas,2025-06-01,0.0,0.0,Bajo
7043,Ixtacomitán,Chiapas,2025-07-01,0.0,0.0,Bajo
7044,Ixtapa,Chiapas,2025-05-01,0.0,0.0,Bajo
7044,Ixtapa,Chiapas,2025-06-01,1.0,0.0,Bajo
7044,Ixtapa,Chiapas,2025-07-01,0.0,0.0,Bajo
7045,Ixtapangajoya,Chiapas,2025-05-01,0.0,0.0,Bajo
7045,Ixtapangajoya,Chiapas,2025-06-01,0.0,0.0,Bajo
7045,Ixtapangajoya,Chiapas,2025-07-01,1.0,0.0,Bajo
7046,Jiquipilas,Chiapas,2025-05-01,0.0,0.0,Bajo
7046,Jiquipilas,Chiapas,2025-06-01,0.0,0.0,Bajo
7046,Jiquipilas,Chiapas,2025-07-01,0.0,0.0,Bajo
7047,Jitotol,Chiapas,2025-05-01,0.0,0.0,Bajo
7047,Jitotol,Chiapas,2025-06-01,0.0,0.0,Bajo
7047,Jitotol,Chiapas,2025-07-01,0.0,0.0,Bajo
7048,Juárez,Chiapas,2025-05-01,0.0,0.0,Bajo
7048,Juárez,Chiapas,2025-06-01,1.0,0.0,Bajo
7048,Juárez,Chiapas,2025-07-01,0.0,0.0,Bajo
7049,Larráinzar,Chiapas,2025-05-01,0.0,0.0,Bajo
7049,Larráinzar,Chiapas,2025-06-01,0.0,0.0,Bajo
7049,Larráinzar,Chiapas,2025-07-01,0.0,0.0,Bajo
7050,La Libertad,Chiapas,2025-05-01,0.0,0.0,Bajo
7050,La Libertad,Chiapas,2025-06-01,0.0,0.0,Bajo
7050,La Libertad,Chiapas,2025-07-01,0.0,0.0,Bajo
7051,Mapastepec,Chiapas,2025-05-01,9.0,0.0,Bajo
7051,Mapastepec,Chiapas,2025-06-01,2.0,0.0,Bajo
7051,Mapastepec,Chiapas,2025-07-01,4.0,0.0,Bajo
7052,Las Margaritas,Chiapas,2025-05-01,1.0,0.0,Bajo
7052,Las Margaritas,Chiapas,2025-06-01,4.0,0.0,Bajo
7052,Las Margaritas,Chiapas,2025-07-01,3.0,0.0,Bajo
7053,Mazapa de Madero,Chiapas,2025-05-01,0.0,0.0,Bajo
7053,Mazapa de Madero,Chiapas,2025-06-01,1.0,0.0,Bajo
7053,Mazapa de Madero,Chiapas,2025-07-01,1.0,0.0,Bajo
7054,Mazatán,Chiapas,2025-05-01,1.0,0.0,Bajo
7054,Mazatán,Chiapas,2025-06-01,1.0,0.0,Bajo
7054,Mazatán,Chiapas,2025-07-01,1.0,0.0,Bajo
7055,Metapa,Chiapas,2025-05-01,0.0,0.0,Bajo
7055,Metapa,Chiapas,2025-06-01,0.0,0.0,Bajo
7055,Metapa,Chiapas,2025-07-01,0.0,0.0,Bajo
7056,Mitontic,Chiapas,2025-05-01,0.0,0.0,Bajo
